Time,Value_1,Value_2,Value_3
7.99995,1.08951,2.17572,-1.65845
8.01245,1.0766,2.30648,-1.75696
8.02495,1.045,2.41708,-1.81944
8.03745,0.998244,2.50463,-1.84724
8.04995,0.940204,2.56663,-1.84204
8.06245,0.8749,2.60116,-1.80559
8.07495,0.806313,2.60689,-1.73971
8.08745,0.73823,2.58315,-1.64608
8.09995,0.674114,2.52991,-1.5263
8.11245,0.616993,2.44777,-1.38192
8.12495,0.569368,2.33787,-1.21444
8.13745,0.533132,2.20183,-1.02546
8.14995,0.509511,2.04168,-0.816781
8.16245,0.499009,1.85974,-0.5905
8.17495,0.501389,1.65855,-0.3491
8.18745,0.515675,1.44082,-0.0955155
8.19995,0.540194,1.20939,0.166856
8.21245,0.57266,0.967174,0.434185
8.22495,0.610302,0.717185,0.7023
